# PARTHENOPE -> PSYCHE -> THEMIS LT-chain trajectory
# Frame: heliocentric ECLIPJ2000, units km / km/s / kg
# Time system: SPICE ET (TDB seconds past J2000)
et_seconds_past_J2000,utc_iso,x_km,y_km,z_km,vx_kms,vy_kms,vz_kms,mass_kg
1128839777.823635,2035-10-09T18:35:08.641288,310371314.774957,-77192451.100456,-13621755.363827,5.044640973,20.647775138,-1.222396938,1199.2327
1129556347.308039,2035-10-18T01:37:58.125660,313662573.909581,-62321842.178781,-14483238.068610,4.139931151,20.850039905,-1.181650981,1199.2327
1130272916.792444,2035-10-26T08:40:47.609999,316302431.721415,-47321804.029309,-15314642.673632,3.226933987,21.008946863,-1.138465546,1199.2327
1130989486.276848,2035-11-03T15:43:37.094306,318285820.532940,-32223547.066871,-16114262.770450,2.308083480,21.124128843,-1.092958344,1199.2327
1131706055.761252,2035-11-11T22:46:26.578583,319609422.788879,-17058484.787483,-16880479.372729,1.385827949,21.195386339,-1.045255540,1199.2327
1132422625.245656,2035-11-20T05:49:16.062831,320271676.145464,-1858113.506366,-17611766.693720,0.462615608,21.222687588,-0.995490958,1199.2327
1133139194.730061,2035-11-28T12:52:05.547055,320272768.266390,13346107.420802,-18306697.332891,-0.459119711,21.206167150,-0.943805231,1199.2327
1133855764.214465,2035-12-06T19:54:55.031257,319614621.498351,28522873.831119,-18963946.832718,-1.376972495,21.146123022,-0.890344894,1199.2327
1134572333.698869,2035-12-15T02:57:44.515443,318300867.726199,43641152.417560,-19582297.575394,-2.288578993,21.043012360,-0.835261451,1199.2327
1135288903.183274,2035-12-23T10:00:33.999617,316336813.826866,58670292.852004,-20160641.998272,-3.191629993,20.897445897,-0.778710410,1199.2327
1136005472.667678,2035-12-31T17:03:23.483783,313729398.249848,73580135.468262,-20697985.116088,-4.083882785,20.710181150,-0.720850312,1199.2327
1136722042.152082,2036-01-09T00:06:12.967947,310487139.348186,88341113.688467,-21193446.347116,-4.963172203,20.482114564,-0.661841763,1199.2327
1137438611.636486,2036-01-17T07:09:02.452115,306620076.165756,102924350.470329,-21646260.649236,-5.827420625,20.214272703,-0.601846481,1199.2327
1138155181.120891,2036-01-25T14:11:51.936290,302139702.453235,117301748.155234,-22055778.980243,-6.674646860,19.907802664,-0.541026361,1199.2327
1138871750.605295,2036-02-02T21:14:41.420477,296956365.390624,131514346.976852,-22444095.671982,-7.646129117,19.659109293,-0.511086967,1192.3574
1139588320.089699,2036-02-11T04:17:30.904682,291186636.655463,145467283.953738,-22788094.316863,-8.454055956,19.278648314,-0.448953148,1192.3574
1140304889.574103,2036-02-19T11:20:20.388909,284845844.463020,159134975.589146,-23087403.725636,-9.239730446,18.863217230,-0.386383009,1192.3574
1141021459.058508,2036-02-27T18:23:09.873160,277950521.660804,172492909.822928,-23341769.175282,-10.001533930,18.414355186,-0.323537746,1192.3574
1141738028.542912,2036-03-07T01:25:59.357440,270518315.189708,185517706.046259,-23551050.296734,-10.737976153,17.933678957,-0.260575204,1192.3574
1142454598.027316,2036-03-15T08:28:48.841751,262567892.927522,198187166.332279,-23715218.404453,-11.447698245,17.422870682,-0.197649137,1192.3574
1143171167.511721,2036-03-23T15:31:38.326094,254118848.861686,210480317.901494,-23834353.320500,-12.129474411,16.883665692,-0.134908540,1192.3574
1143887736.996125,2036-03-31T22:34:27.810470,245191607.498957,222377446.948537,-23908639.748695,-12.782212379,16.317840588,-0.072497060,1192.3574
