# PARTHENOPE -> PSYCHE -> THEMIS LT-chain trajectory
# Frame: heliocentric ECLIPJ2000, units km / km/s / kg
# Time system: SPICE ET (TDB seconds past J2000)
et_seconds_past_J2000,utc_iso,x_km,y_km,z_km,vx_kms,vy_kms,vz_kms,mass_kg
1058643371.361148,2033-07-19T07:35:02.177540,-284030772.835371,286495083.696824,5308654.949228,-12.328593286,-11.931170836,1.375994578,1225.1115
1059223682.994286,2033-07-26T00:46:53.810858,-291087806.504817,279474640.864214,6105265.152716,-11.991608132,-12.262833975,1.369307351,1225.1115
1059803994.627424,2033-08-01T17:58:45.444168,-297946985.919909,272264213.433002,6897725.840577,-11.646732424,-12.585914730,1.361694348,1225.1115
1060384306.260561,2033-08-08T11:10:37.077469,-304603782.052876,264868822.981717,7685501.095929,-11.294138018,-12.900271210,1.353160132,1225.1115
1060964617.893699,2033-08-15T04:22:28.710759,-311053765.412730,257293573.984148,8468057.712812,-10.933996819,-13.205759382,1.343709565,1225.1115
1061544929.526837,2033-08-21T21:34:20.344035,-317292607.300499,249543654.749001,9244865.451440,-10.566484523,-13.502235192,1.333347955,1225.1115
1062125241.159975,2033-08-28T14:46:11.977296,-323316081.678124,241624336.214651,10015397.160996,-10.191778562,-13.789558004,1.322080566,1225.1115
1062705552.793113,2033-09-04T07:58:03.610539,-329120065.288222,233540970.275987,10779128.691795,-9.810055663,-14.067589028,1.309912502,1225.1115
1063285864.426250,2033-09-11T01:09:55.243764,-334700537.344729,225298989.267205,11535538.851452,-9.421492434,-14.336189709,1.296848874,1225.1115
1063866176.059388,2033-09-17T18:21:46.876969,-340053579.732425,216903905.935639,12284109.436914,-9.026266215,-14.595221469,1.282894879,1225.1115
1064446487.692526,2033-09-24T11:33:38.510153,-345175377.572307,208361313.435986,13024325.291258,-8.624555515,-14.844545780,1.268055820,1225.1115
1065026799.325664,2033-10-01T04:45:30.143316,-350062219.980129,199676885.286939,13755674.365443,-8.216540271,-15.084024208,1.252337105,1225.1115
1065607110.958802,2033-10-07T21:57:21.776457,-354710500.959516,190856375.305757,14477647.781652,-7.802402069,-15.313518449,1.235744255,1225.1115
1066187422.591939,2033-10-14T15:09:13.409576,-359116720.411039,181905617.514533,15189739.896836,-7.382324314,-15.532890408,1.218282897,1225.1115
1066767734.225077,2033-10-21T08:21:05.042673,-363277485.217689,172830525.974430,15891448.360171,-6.956492291,-15.742002371,1.199958744,1225.1115
1067348045.858215,2033-10-28T01:32:56.675748,-367189510.247113,163637094.506682,16582274.147389,-6.525092746,-15.940717147,1.180777535,1225.1115
1067928357.491353,2033-11-03T18:44:48.308802,-370849618.936493,154331396.584364,17261721.565358,-6.088313014,-16.128897053,1.160745031,1225.1115
