Name_DecRadius,Class_Composition_SMASSII,Mass_kg,Radius_km,SMA_AU,Eccentricity,Inclination_deg,RotPeriod_hr,SciScore_A_Characterisation,SciScore_B_Interest,SciScore_Combined,SciFlags_Applied,SciPotential_Score_1to10,DeltaV_Score,Total_WeightedScore,Sub_Mass_Score,Sub_Radius_Score,Sub_Ecc_Score,Sub_Inc_Score,Sub_SMA_Score,Sub_RotPer_Score
489 Comacina  (r=69.7km),C — Primitive carbonaceous [Tholen],1.98527883340563e+18,69.695,3.151507718,0.048867703,12.99412567,9.02,8,0,3.2,none,3.81,0,3.0078,5,5,9.36,2.07,2.04,6.47
752 Sulamitis  (r=30.1km),Unclassified,2.28134152530871e+17,30.0855,2.463100152,0.072922196,5.964264817,27.367,6,0,2.4,none,1.56,0,3.0053,3,2,8.29,7.09,8.91,2.36
596 Scheila  (r=79.9km),T — Primitive transitional [SMASSII],2.98712574857467e+18,79.863,2.935697579,0.159452139,14.62963526,15.848,9,0,3.6,none,6.68,0,3.002,5,5,4.51,1.2,4.62,6.6
172 Baucis  (r=31.2km),L — Spinel-bearing stony [SMASSII],3.43987286165936e+17,31.215,2.379719179,0.114132777,10.0160019,27.417,9,0,3.6,none,6.68,0,3.0011,3,2,6.4,4,9.44,2.33
348 May  (r=41.4km),X — X-complex (metallic / enstatite) [SMASSII],1.04105181380804e+18,41.41,2.967483696,0.072297009,9.759794379,7.3812,8,0,3.2,none,3.81,0,2.9891,4,3,8.33,4.24,4.53,4.4
429 Lotis  (r=34.8km),C — Primitive carbonaceous [Tholen],2.47359568607317e+17,34.81,2.606169001,0.124270096,9.543655478,13.577,8,0,3.2,none,3.81,0,2.9842,3,3,6.07,4.33,8.29,8.36
402 Chloe  (r=27.7km),K — Eos-family stony (intermediate) [SMASSII],2.40649774943931e+17,27.7105,2.558965214,0.111406215,11.83877174,10.664,9,0,3.6,none,6.68,0,2.982,3,2,6.58,2.71,8.71,8.4
639 Latona  (r=39.3km),S — Silicaceous stony [Tholen],6.84101784529782e+17,39.2545,3.013448113,0.110680799,8.574335043,6.193,8,0,3.2,none,3.81,0,2.9749,4,3,6.62,4.96,4.02,3.31
264 Libussa  (r=31.5km),S — Silicaceous stony [SMASSII],3.52974048078327e+17,31.4845,2.799120399,0.135089922,10.4250964,9.2276,9,0,3.6,none,6.68,0,2.974,3,2,5.42,3.64,5.56,6.84
232 Russia  (r=27.4km),C — Primitive carbonaceous [Tholen],1.20171920668989e+17,27.365,2.554708445,0.171524317,6.066110817,21.905,8,0,3.2,none,3.81,0,2.9687,2,2,4.07,6.96,8.76,3.62
478 Tergeste  (r=40.4km),L — Spinel-bearing stony [SMASSII],7.4404010905123e+17,40.369,3.018680176,0.080708558,13.17479916,16.11,9,0,3.6,none,6.68,0,2.9642,4,3,7.93,1.89,3.98,6.4
552 Sigelinde  (r=44.3km),Unclassified,7.30727431006201e+17,44.3485,3.150771615,0.089929132,7.692323879,17.156,6,0,2.4,none,1.56,0,2.9547,4,3,7.49,5.89,2.07,5.71
1356 Nyanza (1935 JH)  (r=30.4km),Unclassified,2.36468622997771e+17,30.4475,3.081558865,0.055099249,7.944852286,12.422,6,0,2.4,none,1.56,0,2.9382,3,2,9.18,5.62,3.51,9.38
1262 Sniadeckia (1933 FE)  (r=35.5km),C — Primitive carbonaceous [SMASSII],2.62484427933963e+17,35.5055,3.006516732,0.003833966,13.14348902,17.57,9,0,3.6,none,6.68,0,2.9358,3,3,10,1.91,4.13,5.4
492 Gismonda  (r=26.7km),Unclassified,1.59621537341153e+17,26.709,3.108576143,0.183019347,1.612774165,6.488,6,0,2.4,none,1.56,0,2.9356,2,1,3.51,9.71,3.18,3.53
